component_id,size_cells,centroid_px,centroid_py,centroid_map_x,centroid_map_y
61076,2,4378.5,1260.0,90.675,161.350
61077,2,4388.5,1260.0,91.175,161.350
61079,2,4392.5,1260.0,91.375,161.350
61080,2,4394.5,1260.0,91.475,161.350
61081,2,4400.5,1260.0,91.775,161.350
61082,2,4402.5,1260.0,91.875,161.350
61083,2,4404.5,1260.0,91.975,161.350
61084,2,4406.5,1260.0,92.075,161.350
61086,2,4414.5,1260.0,92.475,161.350
61087,2,4416.5,1260.0,92.575,161.350
61088,2,4420.5,1260.0,92.775,161.350
61089,2,4422.5,1260.0,92.875,161.350
61090,2,4424.5,1260.0,92.975,161.350
61094,2,4444.5,1260.0,93.975,161.350
61096,2,4452.5,1260.0,94.375,161.350
61098,2,4460.5,1260.0,94.775,161.350
61100,2,4470.5,1260.0,95.275,161.350
61102,2,4480.5,1260.0,95.775,161.350
61105,2,4502.5,1260.0,96.875,161.350
61107,2,4512.5,1260.0,97.375,161.350
61108,2,4514.5,1260.0,97.475,161.350
61429,2,2587.0,1260.5,1.100,161.325
61447,2,3147.0,1260.5,29.100,161.325
61454,2,3367.0,1260.5,40.100,161.325
61466,2,3547.0,1260.5,49.100,161.325
61766,2,2757.0,1262.5,9.600,161.225
61830,2,3807.0,1262.5,62.100,161.225
61845,2,3937.0,1262.5,68.600,161.225
62339,2,2717.0,1264.5,7.600,161.125
62358,2,3017.0,1264.5,22.600,161.125
62394,2,3447.0,1264.5,44.100,161.125
62427,2,3817.0,1264.5,62.600,161.125
62436,2,3917.0,1264.5,67.600,161.125
62915,2,2597.0,1266.5,1.600,161.025
62947,2,3167.0,1266.5,30.100,161.025
62968,2,3467.0,1266.5,45.100,161.025
62994,2,3717.0,1266.5,57.600,161.025
63026,2,4007.0,1266.5,72.100,161.025
63483,2,2076.5,1270.0,-24.425,160.850
63485,2,2190.5,1270.0,-18.725,160.850
63490,2,2234.5,1270.0,-16.525,160.850
63497,2,2348.5,1270.0,-10.825,160.850
63503,2,2472.5,1270.0,-4.625,160.850
